model,ablation,condition,bodyuse,pair_id,cell_id,state_role,decl_order,body_order,dep_var,alt_var,target_var,control_var,role_dep_useState_form,decl_dep_first,pos_dep_first,n_tokens,decl_to_bracket_token_distance,dep_id,alt_id,target_id,control_id,logit_dep,logit_alt,logit_target,logit_control,D,LD_stateform,LD_reactive,LD_stateform_direct
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_dep_reactive_reactive_first_both_dep_first,dep_reactive,reactive_first,dep_first,status,cap,status,cap,True,True,True,36,14,2899,11600,2899,11600,26.265625,23.546875,26.265625,23.546875,2.71875,2.71875,2.71875,2.71875
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_dep_reactive_reactive_first_both_alt_first,dep_reactive,reactive_first,alt_first,status,cap,status,cap,True,True,False,36,14,2899,11600,2899,11600,26.15625,25.609375,26.15625,25.609375,0.546875,0.546875,0.546875,0.546875
llama3.2-1b,C,useEffect,target_only,pair_02,pair_02_C_useEffect_dep_reactive_reactive_first_target_only,dep_reactive,reactive_first,,status,cap,status,cap,True,True,,34,12,2899,11600,2899,11600,25.984375,21.9375,25.984375,21.9375,4.046875,4.046875,4.046875,4.046875
llama3.2-1b,C,useEffect,control_only,pair_02,pair_02_C_useEffect_dep_reactive_reactive_first_control_only,dep_reactive,reactive_first,,status,cap,status,cap,True,True,,34,12,2899,11600,2899,11600,23.78125,25.78125,23.78125,25.78125,-2.0,-2.0,-2.0,-2.0
llama3.2-1b,C,useEffect,neither,pair_02,pair_02_C_useEffect_dep_reactive_reactive_first_neither,dep_reactive,reactive_first,,status,cap,status,cap,True,True,,33,11,2899,11600,2899,11600,23.625,22.8125,23.625,22.8125,0.8125,0.8125,0.8125,0.8125
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_dep_reactive_stable_first_both_dep_first,dep_reactive,stable_first,dep_first,status,cap,status,cap,True,False,True,36,14,2899,11600,2899,11600,26.296875,24.53125,26.296875,24.53125,1.765625,1.765625,1.765625,1.765625
llama3.2-1b,C,useEffect,both,pair_02,pair_02_C_useEffect_dep_reactive_stable_first_both_alt_first,dep_reactive,stable_first,alt_first,status,cap,status,cap,True,False,False,36,14,2899,11600,2899,11600,25.65625,25.578125,25.65625,25.578125,0.078125,0.078125,0.078125,0.078125
llama3.2-1b,C,useEffect,target_only,pair_02,pair_02_C_useEffect_dep_reactive_stable_first_target_only,dep_reactive,stable_first,,status,cap,status,cap,True,False,,34,12,2899,11600,2899,11600,26.15625,21.046875,26.15625,21.046875,5.109375,5.109375,5.109375,5.109375
llama3.2-1b,C,useEffect,control_only,pair_02,pair_02_C_useEffect_dep_reactive_stable_first_control_only,dep_reactive,stable_first,,status,cap,status,cap,True,False,,34,12,2899,11600,2899,11600,24.265625,25.796875,24.265625,25.796875,-1.53125,-1.53125,-1.53125,-1.53125
llama3.2-1b,C,useEffect,neither,pair_02,pair_02_C_useEffect_dep_reactive_stable_first_neither,dep_reactive,stable_first,,status,cap,status,cap,True,False,,33,11,2899,11600,2899,11600,23.515625,22.1875,23.515625,22.1875,1.328125,1.328125,1.328125,1.328125
