model,pair_id,LD_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,LD_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,logit_close__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_close__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_close__sr=alt_reactive|do=stable_first|bo=alt_first,logit_close__sr=alt_reactive|do=stable_first|bo=dep_first,logit_close__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_close__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_close__sr=dep_reactive|do=stable_first|bo=alt_first,logit_close__sr=dep_reactive|do=stable_first|bo=dep_first,logit_reactive__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_reactive__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_reactive__sr=alt_reactive|do=stable_first|bo=alt_first,logit_reactive__sr=alt_reactive|do=stable_first|bo=dep_first,logit_reactive__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_reactive__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_reactive__sr=dep_reactive|do=stable_first|bo=alt_first,logit_reactive__sr=dep_reactive|do=stable_first|bo=dep_first,logit_stable__sr=alt_reactive|do=reactive_first|bo=alt_first,logit_stable__sr=alt_reactive|do=reactive_first|bo=dep_first,logit_stable__sr=alt_reactive|do=stable_first|bo=alt_first,logit_stable__sr=alt_reactive|do=stable_first|bo=dep_first,logit_stable__sr=dep_reactive|do=reactive_first|bo=alt_first,logit_stable__sr=dep_reactive|do=reactive_first|bo=dep_first,logit_stable__sr=dep_reactive|do=stable_first|bo=alt_first,logit_stable__sr=dep_reactive|do=stable_first|bo=dep_first,n_cells,mean_LD_reactive_pair,effect_state_role,effect_decl_order,effect_body_order,effect_reactive_body_pos
gemma3-1b-pt,pair_21,1.5449295043945312,-1.2208003997802734,0.07598495483398438,-2.101787567138672,0.4903278350830078,2.2779788970947266,0.6678485870361328,1.8109779357910156,7.3364644050598145,7.429421424865723,7.37739896774292,7.731195449829102,6.86433744430542,7.167050361633301,7.041183948516846,7.315557956695557,20.92531967163086,19.568300247192383,20.6076602935791,19.20490074157715,20.587820053100586,21.16697120666504,20.82759666442871,21.383541107177734,19.380390167236328,20.789100646972656,20.531675338745117,21.30668830871582,20.097492218017578,18.888992309570312,20.159748077392578,19.57256317138672,8,0.44318246841430664,1.7372016906738281,0.6598529815673828,-0.5031805038452148,1.9685707092285156
gemma3-1b-pt,pair_22,1.068939208984375,-1.5923137664794922,0.6871299743652344,-1.9841747283935547,-0.34272193908691406,1.9955635070800781,-0.41615867614746094,2.5639514923095703,7.198958873748779,7.203662395477295,7.26016902923584,7.366925239562988,6.921158313751221,7.031691551208496,6.914489269256592,7.034674644470215,19.85631561279297,18.89768409729004,20.177217483520508,18.860994338989258,19.493986129760742,20.51410675048828,19.5813045501709,20.92320442199707,18.787376403808594,20.48999786376953,19.490087509155273,20.845169067382812,19.836708068847656,18.518543243408203,19.99746322631836,18.3592529296875,8,0.2475268840789795,1.4052634239196777,0.06967973709106445,-0.003540515899658203,2.66273832321167
gemma3-1b-pt,pair_23,1.2432384490966797,-0.6503162384033203,0.9464569091796875,-1.1710376739501953,0.451904296875,2.1590614318847656,-0.05639457702636719,2.0493907928466797,7.234574317932129,7.232848644256592,7.283025741577148,7.350407123565674,6.507652759552002,6.594302654266357,6.484349250793457,6.629406452178955,21.543296813964844,20.592531204223633,21.467683792114258,20.142166137695312,21.154375076293945,21.461320877075195,20.867321014404297,21.690046310424805,20.300058364868164,21.242847442626953,20.52122688293457,21.313203811645508,20.702470779418945,19.30225944519043,20.923715591430664,19.640655517578125,8,0.6215379238128662,1.0589051246643066,0.3588681221008301,-0.04952669143676758,1.9559979438781738
gemma3-1b-pt,pair_24,1.8368644714355469,-0.44605064392089844,0.8275489807128906,-0.9384822845458984,0.12041473388671875,1.6217174530029297,0.16481590270996094,1.5966434478759766,6.998676776885986,7.0209431648254395,7.041306018829346,7.146590709686279,6.602039337158203,6.683633804321289,6.537619113922119,6.607487678527832,20.682815551757812,19.96259117126465,20.55442237854004,19.769630432128906,19.82477378845215,20.674903869628906,19.79376983642578,20.933902740478516,18.845951080322266,20.408641815185547,19.72687339782715,20.708112716674805,19.70435905456543,19.053186416625977,19.62895393371582,19.33725929260254,8,0.5979340076446533,0.5559277534484863,0.3706049919128418,-0.27895402908325195,1.7455191612243652
gemma3-1b-pt,pair_25,1.5269966125488281,-0.7504253387451172,-0.043811798095703125,-2.072732925415039,0.9214878082275391,2.903951644897461,0.49865150451660156,2.3208255767822266,8.794483184814453,9.018527030944824,8.926427841186523,9.34870719909668,8.56717300415039,8.95328426361084,8.391737937927246,8.9072904586792,19.871376037597656,19.299699783325195,19.683683395385742,18.954044342041016,20.44277000427246,21.577110290527344,19.983888626098633,21.361364364624023,18.344379425048828,20.050125122070312,19.727495193481445,21.026777267456055,19.521282196044922,18.673158645629883,19.48523712158203,19.040538787841797,8,0.6631178855895996,1.9962224960327148,0.9747695922851562,-0.1254262924194336,2.027745246887207
gemma3-1b-pt,pair_26,1.5713977813720703,-0.9871902465820312,0.5019683837890625,-1.8466320037841797,0.3178138732910156,1.9005146026611328,-0.19173240661621094,1.4790725708007812,8.009350776672363,8.39173698425293,8.174369812011719,8.545856475830078,7.770495891571045,7.94993257522583,7.833652019500732,8.031794548034668,20.580209732055664,19.677696228027344,20.527929306030273,19.383991241455078,20.360891342163086,21.15361785888672,20.084501266479492,21.25502586364746,19.008811950683594,20.664886474609375,20.02596092224121,21.230623245239258,20.04307746887207,19.253103256225586,20.276233673095703,19.77595329284668,8,0.3431515693664551,1.0665311813354492,0.7149648666381836,-0.4134206771850586,2.0401735305786133
gemma3-1b-pt,pair_27,1.3955516815185547,-1.7924079895019531,0.9159011840820312,-1.696676254272461,-0.3719215393066406,2.5527896881103516,-0.6485118865966797,1.7611045837402344,7.6437087059021,7.659451007843018,7.4876203536987305,7.462399005889893,7.362625598907471,7.395768642425537,7.506980895996094,7.493803024291992,20.650617599487305,19.237459182739258,20.786426544189453,19.288267135620117,19.975582122802734,21.19198989868164,19.55990219116211,20.926000595092773,19.25506591796875,21.02986717224121,19.870525360107422,20.984943389892578,20.347503662109375,18.63920021057129,20.20841407775879,19.16489601135254,8,0.2644786834716797,1.1177730560302734,0.3630485534667969,-0.11655235290527344,2.7837162017822266
gemma3-1b-pt,pair_28,0.9959220886230469,-2.2263126373291016,0.2188739776611328,-2.646158218383789,-0.5683803558349609,2.372220993041992,-0.8104057312011719,1.7518653869628906,7.625792503356934,7.526978015899658,7.52714204788208,7.545950412750244,6.92510986328125,6.890869617462158,6.896367073059082,6.900566577911377,20.528417587280273,18.809223175048828,20.515382766723633,18.704431533813477,19.80461311340332,21.043855667114258,19.730506896972656,20.913524627685547,19.532495498657227,21.03553581237793,20.2965087890625,21.350589752197266,20.37299346923828,18.671634674072266,20.540912628173828,19.161659240722656,8,-0.11404681205749512,1.6007437705993652,0.5148186683654785,-0.14609861373901367,2.8975348472595215
gemma3-1b-pt,pair_29,0.9914283752441406,-1.6030426025390625,1.0021305084228516,-1.6774730682373047,-0.6273727416992188,2.0579891204833984,-0.1291370391845703,3.000223159790039,7.7878828048706055,7.755988597869873,7.958096027374268,7.982559680938721,7.674148082733154,7.759530067443848,7.571114540100098,7.72134256362915,20.268522262573242,18.94447898864746,20.639856338500977,19.034259796142578,19.56021499633789,20.48872947692871,19.950084686279297,20.994976043701172,19.2770938873291,20.547521591186523,19.637725830078125,20.711732864379883,20.18758773803711,18.430740356445312,20.079221725463867,17.994752883911133,8,0.3768432140350342,1.3971648216247559,-0.34418535232543945,0.1351618766784668,2.7721991539001465
gemma3-1b-pt,pair_30,0.0041942596435546875,-2.1686859130859375,0.1573333740234375,-2.361825942993164,-0.3967761993408203,1.5478515625,-1.0719032287597656,1.4846687316894531,7.175375461578369,7.410465717315674,7.221835613250732,7.614892959594727,7.104600429534912,7.343573093414307,7.152018070220947,7.361202239990234,19.786535263061523,19.03083038330078,20.00248908996582,19.001619338989258,19.611740112304688,20.80394172668457,19.021438598632812,20.75984001159668,19.78234100341797,21.19951629638672,19.845155715942383,21.363445281982422,20.008516311645508,19.25609016418457,20.093341827392578,19.275171279907227,8,-0.3506429195404053,1.4832062721252441,0.19457769393920898,-0.04770994186401367,2.298309803009033
