model,condition,sample_id,LD_copy_clean,LD_copy_corrupted,LD_inclusion_clean,LD_inclusion_corrupted,copy_error_clean,copy_error_corrupted,logit_alt_clean,logit_alt_corrupted,logit_close_clean,logit_close_corrupted,logit_dep_clean,logit_dep_corrupted,gap_copy,gap_inclusion
gemma3-1b-pt,alias_ctrl,sub_03,2.9366073608398438,-1.1794624328613281,14.403936862945557,13.52946424484253,11.467329502105713,14.708926677703857,17.16472625732422,20.198373794555664,5.697396755218506,5.489447116851807,20.101333618164062,19.018911361694336,4.116069793701172,0.8744726181030273
gemma3-1b-pt,alias_ctrl,sub_04,2.1270198822021484,-0.6914424896240234,11.214468955993652,10.555159091949463,9.087449073791504,11.246601581573486,16.895477294921875,18.597673416137695,7.808028221130371,7.351071834564209,19.022497177124023,17.906230926513672,2.818462371826172,0.6593098640441895
gemma3-1b-pt,alias_ctrl,sub_05,2.8520660400390625,-0.9269866943359375,14.147924900054932,13.32571792602539,11.29585886001587,14.252704620361328,17.125354766845703,19.929807662963867,5.829495906829834,5.677103042602539,19.977420806884766,19.00282096862793,3.779052734375,0.822206974029541
gemma3-1b-pt,alias_ctrl,sub_06,2.048990249633789,-0.43968772888183594,12.24190092086792,11.803929328918457,10.19291067123413,12.243617057800293,17.13136100769043,19.079313278198242,6.938450336456299,6.835696220397949,19.18035125732422,18.639625549316406,2.488677978515625,0.4379715919494629
gemma3-1b-pt,alias_ctrl,sub_07,3.041828155517578,-1.454935073852539,13.161669731140137,11.1767897605896,10.119841575622559,12.631724834442139,16.96056365966797,19.236736297607422,6.84072208404541,6.605011463165283,20.002391815185547,17.781801223754883,4.496763229370117,1.984879970550537
gemma3-1b-pt,alias_ctrl,sub_08,3.1743392944335938,-0.8214817047119141,13.047523498535156,11.624303817749023,9.873184204101562,12.445785522460938,16.721277236938477,19.183643341064453,6.848093032836914,6.737857818603516,19.89561653137207,18.36216163635254,3.995820999145508,1.4232196807861328
gemma3-1b-pt,alias_ctrl,sub_09,1.2920379638671875,-1.7343158721923828,12.930914402008057,11.31950855255127,11.63887643814087,13.053824424743652,17.688386917114258,19.140439987182617,6.049510478973389,6.086615562438965,18.980424880981445,17.406124114990234,3.0263538360595703,1.611405849456787
gemma3-1b-pt,alias_ctrl,sub_10,2.15966796875,-0.15391159057617188,12.101500034332275,11.186523914337158,9.941832065582275,11.34043550491333,16.63677978515625,18.199899673461914,6.694947719573975,6.859464168548584,18.79644775390625,18.045988082885742,2.313579559326172,0.9149761199951172
gemma3-1b-pt,alias_ctrl,sub_11,3.220468521118164,0.9628047943115234,13.536773681640625,13.498413562774658,10.316305160522461,12.535608768463135,17.792722702026367,19.505451202392578,7.476417541503906,6.969842433929443,21.01319122314453,20.4682559967041,2.2576637268066406,0.0383601188659668
gemma3-1b-pt,alias_ctrl,sub_12,2.8134822845458984,-0.42098045349121094,11.920844078063965,10.590785503387451,9.107361793518066,11.011765956878662,17.123533248901367,18.797374725341797,8.0161714553833,7.785608768463135,19.937015533447266,18.376394271850586,3.2344627380371094,1.3300585746765137
gemma3-1b-pt,alias_ctrl,sub_13,2.125883102416992,-1.5611286163330078,11.888189792633057,10.394920349121094,9.762306690216064,11.956048965454102,17.0347957611084,19.294404983520508,7.272489070892334,7.338356018066406,19.16067886352539,17.7332763671875,3.68701171875,1.493269443511963
gemma3-1b-pt,alias_ctrl,sub_14,4.515926361083984,-0.786041259765625,14.134427547454834,12.897770881652832,9.61850118637085,13.683812141418457,15.868497848510742,19.526063919067383,6.249996662139893,5.842251777648926,20.384424209594727,18.740022659301758,5.301967620849609,1.236656665802002
gemma3-1b-pt,alias_ctrl,sub_15,2.9300880432128906,-2.1048240661621094,13.935941696166992,12.318448066711426,11.005853652954102,14.423272132873535,17.685842514038086,20.736204147338867,6.679988861083984,6.312932014465332,20.615930557250977,18.631380081176758,5.034912109375,1.6174936294555664
gemma3-1b-pt,alias_ctrl,sub_16,2.994586944580078,-0.046360015869140625,12.602117538452148,11.984014511108398,9.60753059387207,12.030374526977539,16.84406852722168,19.1072940826416,7.236537933349609,7.0769195556640625,19.838655471801758,19.06093406677246,3.0409469604492188,0.61810302734375
gemma3-1b-pt,alias_ctrl,sub_17,3.3341407775878906,-0.41818809509277344,12.031489372253418,11.782193183898926,8.697348594665527,12.2003812789917,15.55965805053711,18.610370635986328,6.862309455871582,6.409989356994629,18.893798828125,18.192182540893555,3.752328872680664,0.2492961883544922
gemma3-1b-pt,alias_ctrl,sub_18,1.2109260559082031,-2.616191864013672,12.493104457855225,10.969796657562256,11.282178401947021,13.585988521575928,17.855762481689453,19.940135955810547,6.573584079742432,6.354147434234619,19.066688537597656,17.323944091796875,3.827117919921875,1.5233078002929688
gemma3-1b-pt,alias_ctrl,sub_19,2.582012176513672,-1.3417186737060547,11.530226707458496,9.922920227050781,8.948214530944824,11.264638900756836,16.386022567749023,18.58968162536621,7.437808036804199,7.325042724609375,18.968034744262695,17.247962951660156,3.9237308502197266,1.6073064804077148
gemma3-1b-pt,alias_ctrl,sub_20,2.8973350524902344,-1.0311050415039062,13.078072547912598,11.222642421722412,10.180737495422363,12.253747463226318,16.63567543029785,18.79719352722168,6.454937934875488,6.543446063995361,19.533010482788086,17.766088485717773,3.9284400939941406,1.8554301261901855
gemma3-1b-pt,alias_ctrl,sub_21,3.5241470336914062,0.3519287109375,13.493581771850586,13.177720069885254,9.96943473815918,12.825791358947754,16.937467575073242,19.08856964111328,6.9680328369140625,6.262778282165527,20.46161460876465,19.44049835205078,3.1722183227539062,0.31586170196533203
gemma3-1b-pt,alias_ctrl,sub_22,3.8776378631591797,-1.4971046447753906,13.160548686981201,11.448415756225586,9.282910823822021,12.945520401000977,16.024234771728516,19.407442092895508,6.741323947906494,6.461921691894531,19.901872634887695,17.910337448120117,5.37474250793457,1.7121329307556152
gemma3-1b-pt,alias_ctrl,sub_23,2.279001235961914,-1.2491817474365234,14.300879001617432,13.227217674255371,12.021877765655518,14.476399421691895,17.557126998901367,20.02543067932129,5.53524923324585,5.5490312576293945,19.83612823486328,18.776248931884766,3.5281829833984375,1.0736613273620605
gemma3-1b-pt,alias_ctrl,sub_24,3.3899850845336914,-0.3758697509765625,13.027575016021729,12.030571460723877,9.637589931488037,12.40644121170044,15.91203784942627,18.59183120727539,6.274447917938232,6.185389995574951,19.30202293395996,18.215961456298828,3.765854835510254,0.9970035552978516
gemma3-1b-pt,alias_ctrl,sub_25,3.383129119873047,0.2831077575683594,12.42396068572998,11.081541061401367,9.040831565856934,10.798433303833008,17.29072380065918,18.766033172607422,8.249892234802246,7.967599868774414,20.673852920532227,19.04914093017578,3.1000213623046875,1.3424196243286133
