model,condition,sample_id,run_type,dep_str,alt_str,n_tokens,dep_id,alt_id,close_id,logit_dep,logit_alt,logit_close,LD_copy,LD_inclusion,copy_error
llama3.2-1b,useEffect,sub_10,corrupted,id,num,41,307,2470,60,22.48908233642578,25.19521713256836,12.604327201843262,-2.706134796142578,9.88475513458252,12.590889930725098
llama3.2-1b,useLayoutEffect,sub_10,clean,id,num,43,307,2470,60,25.345895767211914,21.6226749420166,12.577486038208008,3.7232208251953125,12.768409729003906,9.045188903808594
llama3.2-1b,useLayoutEffect,sub_10,corrupted,id,num,43,307,2470,60,22.21864128112793,24.906940460205078,12.769621849060059,-2.6882991790771484,9.449019432067871,12.13731861114502
llama3.2-1b,alias,sub_10,clean,id,num,48,307,2470,60,25.292505264282227,22.105947494506836,12.043871879577637,3.1865577697753906,13.24863338470459,10.0620756149292
llama3.2-1b,alias,sub_10,corrupted,id,num,48,307,2470,60,22.903228759765625,24.88811683654785,12.148632049560547,-1.9848880767822266,10.754596710205078,12.739484786987305
llama3.2-1b,alias_ctrl,sub_10,clean,id,num,59,307,2470,60,24.009700775146484,22.01750946044922,11.160469055175781,1.9921913146972656,12.849231719970703,10.857040405273438
llama3.2-1b,alias_ctrl,sub_10,corrupted,id,num,59,307,2470,60,22.480379104614258,23.181339263916016,11.156340599060059,-0.7009601593017578,11.3240385055542,12.024998664855957
llama3.2-1b,subscribe,sub_10,clean,id,num,52,307,2470,60,23.84833526611328,22.369159698486328,11.237879753112793,1.4791755676269531,12.610455513000488,11.131279945373535
llama3.2-1b,subscribe,sub_10,corrupted,id,num,52,307,2470,60,23.106584548950195,22.782669067382812,11.358378410339355,0.3239154815673828,11.74820613861084,11.424290657043457
llama3.2-1b,useEffect,sub_11,clean,key,max,42,798,2880,60,26.854339599609375,22.269245147705078,12.238783836364746,4.585094451904297,14.615555763244629,10.030461311340332
llama3.2-1b,useEffect,sub_11,corrupted,key,max,42,798,2880,60,24.710128784179688,24.30965805053711,12.948969841003418,0.4004707336425781,11.76115894317627,11.360688209533691
llama3.2-1b,useLayoutEffect,sub_11,clean,key,max,44,798,2880,60,26.640607833862305,22.34678840637207,12.55301570892334,4.293819427490234,14.087592124938965,9.79377269744873
llama3.2-1b,useLayoutEffect,sub_11,corrupted,key,max,44,798,2880,60,24.492835998535156,24.112571716308594,13.022941589355469,0.3802642822265625,11.469894409179688,11.089630126953125
llama3.2-1b,alias,sub_11,clean,key,max,49,798,2880,60,25.894765853881836,23.457542419433594,11.76904582977295,2.437223434448242,14.125720024108887,11.688496589660645
llama3.2-1b,alias,sub_11,corrupted,key,max,49,798,2880,60,24.271730422973633,24.62097930908203,12.23993968963623,-0.34924888610839844,12.031790733337402,12.3810396194458
llama3.2-1b,alias_ctrl,sub_11,clean,key,max,60,798,2880,60,25.073593139648438,22.782611846923828,11.297709465026855,2.2909812927246094,13.775883674621582,11.484902381896973
llama3.2-1b,alias_ctrl,sub_11,corrupted,key,max,60,798,2880,60,23.70867919921875,23.539043426513672,11.579792022705078,0.16963577270507812,12.128887176513672,11.959251403808594
llama3.2-1b,subscribe,sub_11,clean,key,max,53,798,2880,60,25.02735137939453,22.5816707611084,11.506467819213867,2.445680618286133,13.520883560180664,11.075202941894531
llama3.2-1b,subscribe,sub_11,corrupted,key,max,53,798,2880,60,24.17889404296875,23.234655380249023,11.713150978088379,0.9442386627197266,12.465743064880371,11.521504402160645
llama3.2-1b,useEffect,sub_12,clean,name,len,41,609,2963,60,25.910247802734375,21.99988555908203,12.373382568359375,3.9103622436523438,13.536865234375,9.626502990722656
llama3.2-1b,useEffect,sub_12,corrupted,name,len,41,609,2963,60,22.835205078125,25.262157440185547,13.02177906036377,-2.426952362060547,9.81342601776123,12.240378379821777
